TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day,AvgTravel,Price
-0.041331033999999996,2,4,2,3,08/27/20,172766,5814369,2.989247312,34.18000030517578
0.093207692,6,2,2,1,08/28/20,173792,5860495,2.989247312,34.880001068115234
-0.048456604,4,5,0,1,08/29/20,174800,5904458,2.989247312,34.26500129699707
-0.09342692300000001,4,9,2,0,08/30/20,175274,5943743,2.989247312,33.95750141143799
0.035573468999999996,7,5,0,0,08/31/20,175656,5975013,2.989247312,33.650001525878906
-0.138785417,3,7,1,1,09/01/20,176678,6017434,2.621111111,33.599998474121094
0.075557143,8,2,0,1,09/02/20,177704,6047651,2.621111111,34.459999084472656
0.072842593,6,1,2,1,09/03/20,178780,6092272,2.621111111,34.38999938964844
3.81e-05,11,4,3,1,09/04/20,179776,6143785,2.621111111,35.439998626708984
-0.089648571,6,5,2,0,09/05/20,180697,6188529,2.621111111,35.44999885559082
-0.10276875,4,3,4,0,09/06/20,181144,6221450,2.621111111,35.45499897003174
-0.082812069,6,2,0,2,09/07/20,181370,6249594,2.621111111,35.4574990272522
-0.040374194,10,2,1,2,09/08/20,181722,6271730,2.621111111,35.459999084472656
-0.077468254,12,4,2,1,09/09/20,182824,6302903,2.621111111,33.90999984741211
0.00219375,2,4,6,1,09/10/20,183985,6340205,2.621111111,33.599998474121094
-0.08430333300000001,2,6,1,2,09/11/20,184993,6384889,2.621111111,34.65999984741211
-0.045447826,5,2,0,3,09/12/20,185811,6426755,2.621111111,34.61000061035156
0.024658537,1,3,3,4,09/13/20,186201,6461066,2.621111111,34.58500099182129
-0.042041429000000005,3,5,4,2,09/14/20,186609,6494686,2.621111111,34.560001373291016
-0.10479836099999999,4,2,5,1,09/15/20,187654,6529591,2.621111111,34.58000183105469
0.023408621,5,3,5,1,09/16/20,188832,6569703,2.621111111,35.220001220703125
-0.076588462,7,0,3,3,09/17/20,189712,6612992,2.621111111,34.5099983215332
-0.053219231,5,1,7,1,09/18/20,190612,6660244,2.621111111,33.75
-0.025084615,4,3,1,0,09/19/20,191359,6705149,2.621111111,32.64500045776367
-0.111320755,4,7,7,3,09/20/20,191682,6740652,2.621111111,32.09250068664551
-0.003878571,5,7,8,2,09/21/20,191962,6779791,2.621111111,31.540000915527344
-0.11572790699999999,2,5,1,1,09/22/20,192826,6829266,2.621111111,31.09000015258789
-0.048878846,4,4,0,1,09/23/20,193980,6867886,2.621111111,29.479999542236328
0.045936110999999995,5,2,1,2,09/24/20,194919,6911232,2.621111111,29.149999618530273
0.02476,4,6,0,2,09/25/20,195769,6966421,2.621111111,29.59000015258789
-0.064336842,2,3,1,2,09/26/20,196640,7013826,2.621111111,30.399999618530273
-0.114013636,5,3,2,1,09/27/20,196946,7048812,2.621111111,30.804999351501465
-0.050143182,0,7,3,0,09/28/20,197193,7084695,2.621111111,31.209999084472656
-0.1428575,5,5,0,0,09/29/20,197930,7121136,2.621111111,29.81999969482422
-0.091558537,4,2,7,4,09/30/20,198993,7165483,2.621111111,29.860000610351562
0.023259016,5,3,4,3,10/01/20,199851,7211088,2.76344086,30.760000228881836
0.35042008399999997,3,2,4,1,10/02/20,200698,7260346,2.76344086,31.709999084472656
0.022251612999999996,1,5,1,3,10/03/20,201438,7311280,2.76344086,31.63499927520752
-0.059781967000000005,2,6,1,1,10/04/20,201803,7349267,2.76344086,31.59749937057495
-0.000451316,0,3,4,2,10/05/20,202147,7387024,2.76344086,31.559999465942383
-0.068055556,4,4,2,0,10/06/20,202757,7425941,2.76344086,30.6299991607666
0.087311475,1,2,5,1,10/07/20,203682,7476532,2.76344086,31.450000762939453
0.0017622220000000001,1,6,2,3,10/08/20,204667,7531740,2.76344086,31.5
-0.06227647099999999,1,5,4,7,10/09/20,205565,7588542,2.76344086,31.790000915527344
-0.005891176,0,3,1,5,10/10/20,206246,7645956,2.76344086,31.445000648498535
-0.147060465,2,7,8,2,10/11/20,206714,7692224,2.76344086,31.27250051498413
-0.113491071,9,10,7,4,10/12/20,206996,7734868,2.76344086,31.100000381469727
-0.059344615,8,7,4,1,10/13/20,207694,7783462,2.76344086,30.34000015258789
-0.0193,5,4,5,3,10/14/20,208501,7839579,2.76344086,30.649999618530273
0.004865217,2,4,4,1,10/15/20,209431,7902973,2.76344086,30.610000610351562
-0.153635417,1,4,0,1,10/16/20,210328,7971222,2.76344086,30.489999771118164
-0.058246809000000004,3,4,3,1,10/17/20,211101,8028550,2.76344086,30.56999969482422
-0.18097804899999997,3,4,0,0,10/18/20,211503,8076834,2.76344086,30.609999656677246
0.07811875,0,1,7,1,10/19/20,211959,8133943,2.76344086,30.649999618530273
-0.007418605,5,2,4,0,10/20/20,212796,8194492,2.76344086,31.049999237060547
-0.09948142900000001,16,17,0,4,10/21/20,213815,8255450,2.76344086,30.469999313354492
0.072650909,4,1,3,3,10/22/20,214941,8328292,2.76344086,32.88999938964844
-0.080093333,4,7,3,1,10/23/20,215875,8410625,2.76344086,33.7400016784668
-0.045723256,1,1,1,2,10/24/20,216765,8493912,2.76344086,32.630001068115234
-0.048908695999999995,3,1,3,0,10/25/20,217147,8558805,2.76344086,32.07500076293945
-0.045096154000000006,6,4,3,1,10/26/20,217549,8621330,2.76344086,31.520000457763672
-0.109510909,5,8,2,3,10/27/20,218468,8693413,2.76344086,29.719999313354492
-0.030883077000000002,4,4,8,3,10/28/20,219512,8772165,2.76344086,27.799999237060547
-0.052483673,3,1,6,3,10/29/20,220549,8860888,2.76344086,29.15999984741211
0.143944444,1,0,0,1,10/30/20,221496,8958126,2.76344086,29.030000686645508
